Fri,Mon,Sat,Thu,Tue,Wed,building,call,name,number,room
,1:20pm-2:25pm,,,,1:20pm-2:25pm,Seeley W. Mudd Building,93247,ELECTROCHEM MATLS & DEVS Section 001,Materials Science and Engineering E4260,227
,,,4:10pm-5:25pm,4:10pm-5:25pm,,Seeley W. Mudd Building,70648,TRANSMISSION ELEC MICROSCOPY Section 001,Materials Science and Engineering E6100,337
,1:10pm-3:40pm,,,,,Seeley W. Mudd Building,27808,THIN FILMS AND LAYERS Section 001,Materials Science and Engineering E6251,644
,,,,,,,13771,MATERIALS SCIENCE REPORTS Section 001,Materials Science and Engineering E6273,
,,,,,,,62816,MATERIALS SCIENCE REPORTS Section 002,Materials Science and Engineering E6273,
,,,,,,,63566,MATERIALS SCIENCE REPORTS Section 003,Materials Science and Engineering E6273,
,,,,,,,13322,MATERIALS SCIENCE REPORTS Section 004,Materials Science and Engineering E6273,
,,,,,,,19547,MATERIALS SCIENCE REPORTS Section 005,Materials Science and Engineering E6273,
,,,,,,,62806,MATERIALS SCIENCE REPORTS Section 006,Materials Science and Engineering E6273,
,,,,,,,72339,MATERIALS SCIENCE REPORTS Section 007,Materials Science and Engineering E6273,
,,,,,,,67530,MATERIALS SCIENCE REPORTS Section 008,Materials Science and Engineering E6273,
,,,,,,,66250,MATERIALS SCIENCE REPORTS Section 009,Materials Science and Engineering E6273,
,,,,,,,10638,MATERIALS SCIENCE REPORTS Section 010,Materials Science and Engineering E6273,
,,,,,,,18804,MATERIALS SCIENCE REPORTS Section 011,Materials Science and Engineering E6273,
,,,,,,,25751,MATERIALS SCIENCE REPORTS Section 012,Materials Science and Engineering E6273,
,,,,,,,19216,MATERIALS SCIENCE REPORTS Section 013,Materials Science and Engineering E6273,
,,,,,,,12468,DOCTORAL RESEARCH Section 001,Materials Science and Engineering E9301,
,,,,,,,62108,DOCTORAL RESEARCH Section 002,Materials Science and Engineering E9301,
,,,,,,,61772,DOCTORAL RESEARCH Section 003,Materials Science and Engineering E9301,
,,,,,,,14328,DOCTORAL RESEARCH Section 004,Materials Science and Engineering E9301,
,,,,,,,25080,DOCTORAL RESEARCH Section 005,Materials Science and Engineering E9301,
,,,,,,,72350,DOCTORAL RESEARCH Section 006,Materials Science and Engineering E9301,
,,,,,,,69114,DOCTORAL RESEARCH Section 007,Materials Science and Engineering E9301,
,,,,,,,72850,DOCTORAL RESEARCH Section 008,Materials Science and Engineering E9301,
,,,,,,,11632,DOCTORAL RESEARCH Section 009,Materials Science and Engineering E9301,
,,,,,,,28547,DOCTORAL RESEARCH Section 010,Materials Science and Engineering E9301,
,,,,,,,66351,DOCTORAL RESEARCH Section 011,Materials Science and Engineering E9301,
,,,,,,,71983,DOCTORAL RESEARCH Section 012,Materials Science and Engineering E9301,
,,,,,,,25006,DOCTORAL RESEARCH Section 013,Materials Science and Engineering E9301,
,,,,,,,65085,DOCTORAL RESEARCH PROPOSAL Section 001,Materials Science and Engineering E9309,
,,,,,,,23609,DOCTORAL RESEARCH PROPOSAL Section 002,Materials Science and Engineering E9309,
,,,,,,,10644,DOCTORAL RESEARCH PROPOSAL Section 003,Materials Science and Engineering E9309,
,,,,,,,17639,DOCTORAL RESEARCH PROPOSAL Section 004,Materials Science and Engineering E9309,
,,,,,,,15648,DOCTORAL RESEARCH PROPOSAL Section 005,Materials Science and Engineering E9309,
,,,,,,,14918,DOCTORAL RESEARCH PROPOSAL Section 006,Materials Science and Engineering E9309,
,,,,,,,13589,DOCTORAL RESEARCH PROPOSAL Section 007,Materials Science and Engineering E9309,
,,,,,,,70001,DOCTORAL RESEARCH PROPOSAL Section 008,Materials Science and Engineering E9309,
,,,,,,,73040,DOCTORAL RESEARCH PROPOSAL Section 009,Materials Science and Engineering E9309,
,,,,,,,62480,DOCTORAL RESEARCH PROPOSAL Section 010,Materials Science and Engineering E9309,
,,,,,,,74382,DOCTORAL RESEARCH PROPOSAL Section 011,Materials Science and Engineering E9309,
,,,,,,,61908,DOCTORAL RESEARCH PROPOSAL Section 012,Materials Science and Engineering E9309,
,,,,,,,21524,DOCTORAL RESEARCH PROPOSAL Section 013,Materials Science and Engineering E9309,
,,,,,,,12922,DOCTORAL RESEARCH INSTRUCTION Section 001,Materials Science and Engineering E9800,
,,,,,,,75487,DOCTORAL RESEARCH INSTRUCTION Section 002,Materials Science and Engineering E9800,
,,,,,,,75326,DOCTORAL RESEARCH INSTRUCTION Section 003,Materials Science and Engineering E9800,
,,,,,,,11639,DOCTORAL RESEARCH INSTRUCTION Section 004,Materials Science and Engineering E9800,
,,,,,,,16551,DOCTORAL RESEARCH INSTRUCTION Section 005,Materials Science and Engineering E9800,
,,,,,,,77111,DOCTORAL RESEARCH INSTRUCTION Section 006,Materials Science and Engineering E9800,
,,,,,,,19871,DOCTORAL RESEARCH INSTRUCTION Section 007,Materials Science and Engineering E9800,
,,,,,,,20027,DOCTORAL RESEARCH INSTRUCTION Section 008,Materials Science and Engineering E9800,
,,,,,,,64183,DOCTORAL RESEARCH INSTRUCTION Section 009,Materials Science and Engineering E9800,
,,,,,,,63459,DOCTORAL RESEARCH INSTRUCTION Section 010,Materials Science and Engineering E9800,
,,,,,,,15415,DOCTORAL RESEARCH INSTRUCTION Section 011,Materials Science and Engineering E9800,
,,,,,,,24061,DOCTORAL RESEARCH INSTRUCTION Section 012,Materials Science and Engineering E9800,
,,,,,,,29215,DOCTORAL RESEARCH INSTRUCTION Section 013,Materials Science and Engineering E9800,
,,,,,,,70815,DOCTORAL DISSERTATION Section 001,Materials Science and Engineering E9900,
,,,,,,,74867,DOCTORAL DISSERTATION Section 002,Materials Science and Engineering E9900,
,,,,,,,14730,DOCTORAL DISSERTATION Section 003,Materials Science and Engineering E9900,
,,,,,,,10762,DOCTORAL DISSERTATION Section 004,Materials Science and Engineering E9900,
,,,,,,,13818,DOCTORAL DISSERTATION Section 005,Materials Science and Engineering E9900,
,,,,,,,67933,DOCTORAL DISSERTATION Section 006,Materials Science and Engineering E9900,
,,,,,,,21107,DOCTORAL DISSERTATION Section 007,Materials Science and Engineering E9900,
,,,,,,,11897,DOCTORAL DISSERTATION Section 008,Materials Science and Engineering E9900,
,,,,,,,26477,DOCTORAL DISSERTATION Section 009,Materials Science and Engineering E9900,
,,,,,,,26739,DOCTORAL DISSERTATION Section 010,Materials Science and Engineering E9900,
,,,,,,,29604,DOCTORAL DISSERTATION Section 011,Materials Science and Engineering E9900,
,,,,,,,73071,DOCTORAL DISSERTATION Section 012,Materials Science and Engineering E9900,
,,,,,,,18565,DOCTORAL DISSERTATION Section 013,Materials Science and Engineering E9900,
,6:10pm-8:00pm,,,,6:10pm-8:00pm,Mathematics Building,62274,COLLEGE ALGEBRA-ANLYTC GEOMTRY Section 001,Mathematics UN1003,417
,,,12:10pm-2:00pm,12:10pm-2:00pm,,Hamilton Hall,26568,COLLEGE ALGEBRA-ANLYTC GEOMTRY Section 002,Mathematics UN1003,603
,8:40am-9:55am,,,,8:40am-9:55am,Mathematics Building,69002,CALCULUS I Section 001,Mathematics UN1101,407
,10:10am-11:25am,,,,10:10am-11:25am,Mathematics Building,18872,CALCULUS I Section 002,Mathematics UN1101,407
,6:10pm-7:25pm,,,,6:10pm-7:25pm,Mathematics Building,11439,CALCULUS I Section 003,Mathematics UN1101,407
,,,11:40am-12:55pm,11:40am-12:55pm,,Mathematics Building,14059,CALCULUS I Section 004,Mathematics UN1101,207
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Mathematics Building,24071,CALCULUS I Section 005,Mathematics UN1101,407
,11:40am-12:55pm,,,,11:40am-12:55pm,Mathematics Building,12207,CALCULUS I Section 006,Mathematics UN1101,407
,,,10:10am-11:25am,10:10am-11:25am,,Mathematics Building,11790,CALCULUS I Section 007,Mathematics UN1101,507
,,,6:10pm-7:25pm,6:10pm-7:25pm,,Mathematics Building,29542,CALCULUS I Section 008,Mathematics UN1101,307
,11:40am-12:55pm,,,,11:40am-12:55pm,Mathematics Building,22373,CALCULUS II Section 001,Mathematics UN1102,307
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Mathematics Building,71505,CALCULUS II Section 002,Mathematics UN1102,520
,10:10am-11:25am,,,,10:10am-11:25am,Mathematics Building,76382,CALCULUS II Section 003,Mathematics UN1102,417
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Mathematics Building,75150,CALCULUS II Section 004,Mathematics UN1102,203
,,,6:10pm-7:25pm,6:10pm-7:25pm,,Mathematics Building,16760,CALCULUS II Section 005,Mathematics UN1102,407
,8:40am-9:55am,,,,8:40am-9:55am,Mathematics Building,21153,CALCULUS III Section 001,Mathematics UN1201,207
,11:40am-12:55pm,,,,11:40am-12:55pm,Mathematics Building,25373,CALCULUS III Section 002,Mathematics UN1201,312
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Mathematics Building,71946,CALCULUS III Section 003,Mathematics UN1201,312
,6:10pm-7:25pm,,,,6:10pm-7:25pm,Mathematics Building,70892,CALCULUS III Section 004,Mathematics UN1201,312
,,,8:40am-9:55am,8:40am-9:55am,,Barnard Hall,5518,CALCULUS III Section 005,Mathematics UN1201,304
,,,10:10am-11:25am,10:10am-11:25am,,Milbank Hall (Barnard),7691,CALCULUS III Section 006,Mathematics UN1201,405
,,,11:40am-12:55pm,11:40am-12:55pm,,Hamilton Hall,67220,CALCULUS III Section 007,Mathematics UN1201,717
,8:40am-9:55am,,,,8:40am-9:55am,Mathematics Building,27342,CALCULUS IV Section 001,Mathematics UN1202,312
,10:10am-11:25am,,,,10:10am-11:25am,Mathematics Building,66692,CALCULUS IV Section 003,Mathematics UN1202,312
,,,11:40am-12:55pm,11:40am-12:55pm,,Mathematics Building,71308,CALCULUS IV Section 004,Mathematics UN1202,312
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Mathematics Building,27564,HONORS MATHEMATICS B Section 001,Mathematics UN1208,203
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Diana Center,7922,INTRO TO HIGHER MATHEMATICS Section 001,Mathematics UN2000,504
,,,8:40am-9:55am,8:40am-9:55am,,Mathematics Building,22319,LINEAR ALGEBRA Section 001,Mathematics UN2010,417
,,,10:10am-11:25am,10:10am-11:25am,,Mathematics Building,74185,LINEAR ALGEBRA Section 002,Mathematics UN2010,312
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Schermerhorn Hall [SCH],67337,LINEAR ALGEBRA Section 003,Mathematics UN2010,614
,10:10am-11:25am,,,,10:10am-11:25am,Mathematics Building,19348,LINEAR ALGEBRA Section 004,Mathematics UN2010,207
,,,11:40am-12:55pm,11:40am-12:55pm,,Mathematics Building,21760,ORDINARY DIFFERENTIAL EQUATION Section 001,Mathematics UN2030,203
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Mathematics Building,66814,ORDINARY DIFFERENTIAL EQUATION Section 002,Mathematics UN2030,203
,,,8:40am-9:55am,8:40am-9:55am,,Mathematics Building,60299,ANALYSIS AND OPTIMIZATION Section 001,Mathematics UN2500,203
,,,10:10am-11:25am,10:10am-11:25am,,Mathematics Building,14794,ANALYSIS AND OPTIMIZATION Section 002,Mathematics UN2500,203
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Mathematics Building,73623,COMPLEX VARIABLES Section 001,Mathematics UN3007,312
,10:10am-11:25am,,,,10:10am-11:25am,Mathematics Building,76902,NUMBER THEORY AND CRYPTOGRAPHY Section 001,Mathematics UN3020,203
,11:40am-12:55pm,,,,11:40am-12:55pm,Schermerhorn Hall [SCH],60863,PARTIAL DIFFERENTIAL EQUATIONS Section 001,Mathematics UN3028,614
,6:10pm-7:25pm,,,,6:10pm-7:25pm,Mathematics Building,17362,DISCRETE TIME MODELS IN FINANC Section 001,Mathematics UN3050,203
,,,,,,,5662,SUPERVISED READINGS II Section 001,Mathematics UN3902,
,,,,,,,22214,SUPERVISED READINGS II Section 002,Mathematics UN3902,
,,,,,,,93672,SUPERVISED READINGS II Section 003,Mathematics UN3902,
,,,,,,,75032,SUPERVISED READINGS II Section 004,Mathematics UN3902,
,,,,,,,84535,SUPERVISED READINGS II Section 005,Mathematics UN3902,
,,,,,,,853,UNDERGRADUATE SEMINARS II Section 001,Mathematics UN3952,
,,,,,,,61052,SENIOR THESIS IN MATHEMATICS Section 001,Mathematics UN3999,
,,,,,,,1982,SENIOR THESIS IN MATHEMATICS Section 002,Mathematics UN3999,
,,,,,,,11349,SENIOR THESIS IN MATHEMATICS Section 003,Mathematics UN3999,
,,,11:40am-12:55pm,11:40am-12:55pm,,Mathematics Building,76901,ANALYTIC NUMBER THEORY Section 001,Mathematics GU4007,520
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Mathematics Building,15388,FOURIER ANALYSIS Section 001,Mathematics GU4032,417
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Mathematics Building,17587,INTRO TO MODERN ALGEBRA I Section 001,Mathematics GU4041,203
,,,4:10pm-5:25pm,4:10pm-5:25pm,,Hamilton Hall,16294,INTRO TO MOD ALGEBRA II Section 001,Mathematics GU4042,602
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Mathematics Building,29931,REPRESENTATNS OF FINITE GROUPS Section 001,Mathematics GU4044,417
,4:10pm-5:25pm,,,,4:10pm-5:25pm,Mathematics Building,64661,INTRO TO ALGEBRAIC TOPOLOGY Section 001,Mathematics GU4053,417
,4:10pm-5:25pm,,,,4:10pm-5:25pm,Hamilton Hall,10113,INTRO-MODERN ANALYSIS I Section 001,Mathematics GU4061,717
,8:40am-9:55am,,,,8:40am-9:55am,Mathematics Building,60905,INTRO-MODERN ANALYSIS II Section 001,Mathematics GU4062,203
,10:10am-11:25am,,,,10:10am-11:25am,Mathematics Building,64475,INTRO-DIFFERENTIABLE MANIFOLDS Section 001,Mathematics GU4081,520
,,,4:10pm-5:25pm,4:10pm-5:25pm,,Mathematics Building,14556,PROBABILITY THEORY Section 001,Mathematics GU4155,520
,7:40pm-8:55pm,,,,7:40pm-8:55pm,Mathematics Building,77732,INTRO TO THE MATH OF FINANCE Section 001,Mathematics GR5010,207
,7:40pm-8:55pm,,,,7:40pm-8:55pm,Mathematics Building,14011,NUMERICAL METHODS IN FINANCE Section 001,Mathematics GR5030,312
,,,7:40pm-8:55pm,7:40pm-8:55pm,,Mathematics Building,18844,MATH FINANCE PRACTITIONERS SEM Section 001,Mathematics GR5050,207
,,,,,1:10pm-3:40pm,Mathematics Building,61251,PROG FOR QUANT & COMP FINANCE Section 001,Mathematics GR5260,407
5:00pm-7:20pm,,,,,,Mathematics Building,21825,MATH MTHDS-FIN PRICE ANALYSIS Section 001,Mathematics GR5360,312
,6:10pm-7:25pm,,,,6:10pm-7:25pm,Mathematics Building,12276,MULTI-ASSET PORTFOLIO MGMT Section 001,Mathematics GR5380,207
6:10pm-8:30pm,,,,,,Mathematics Building,28382,NON-LINEAR OPTION PRICING Section 001,Mathematics GR5400,520
,,,,,,,27001,MAFN FIELDWORK Section 001,Mathematics GR5510,
,,,,,,,13606,UNPAID INTERNSHIP Section 001,Mathematics GR5530,
,,,,10:10am-11:25am,,Mathematics Building,65591,THE TEACHING OF MATHEMATICS Section 001,Mathematics GR6000,528
,4:10pm-5:25pm,,,,4:10pm-5:25pm,Mathematics Building,23074,PROBABILITY II Section 001,Mathematics GR6153,407
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Mathematics Building,22344,COMPLEX ANALYSIS/RIEMANN SURF Section 001,Mathematics GR6176,520
,,,11:40am-12:55pm,11:40am-12:55pm,,Mathematics Building,12186,ARITH & ALGEBRAIC GEOMETRY Section 001,Mathematics GR6262,407
,1:10pm-3:40pm,,,,,Seeley W. Mudd Building,25816,ANALYTIC METHODS FOR PDE\' Section 001,Mathematics 86301,1024
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Mathematics Building,2641,ALGEBRAIC TOPOLOGY II Section 001,Mathematics GR6308,307
,1:10pm-2:25pm,,,,1:10pm-2:25pm,Mathematics Building,73831,LIE GROUPS & REPRESENTATIONS Section 001,Mathematics GR6344,520
,10:10am-11:25am,,,,10:10am-11:25am,Mathematics Building,18670,MODERN GEOMETRY Section 001,Mathematics GR6403,307
,11:40am-12:55pm,,,,11:40am-12:55pm,Mathematics Building,98197,ALGEBRAIC NUMBER THEORY Section 001,Mathematics GR6657,520
,,,11:40am-12:55pm,11:40am-12:55pm,,Mathematics Building,75387,PARTIAL DIFFERENTIAL EQUATIONS Section 001,Mathematics GR8210,507
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Mathematics Building,14175,TOPICS IN THE THEORY OF ALGEBRAIC SURFACES Section 001,Mathematics GR8293,407
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Mathematics Building,26410,PARTIAL DIFFERENTIAL EQUATIONS Section 001,Mathematics GR8429,307
,,,1:10pm-2:25pm,1:10pm-2:25pm,,Mathematics Building,67627,TOPICS IN AUTOMORPHIC FORMS Section 001,Mathematics GR8659,307
,,,,,,,5648,RESEARCH SEM-GEOMETRIC TOPOLGY Section 001,Mathematics GR9902,
10:30am-12:00pm,,,,,,Mathematics Building,77017,SEM IN ALGEBRAIC GEOMETRY Section 001,Mathematics GR9904,407
,,,4:10pm-5:25pm,,,Mathematics Building,24974,SEMINAR IN TOPOLOGY Section 001,Mathematics GR9912,407
,2:40pm-3:55pm,,,,2:40pm-3:55pm,Mathematics Building,18554,TOPICS IN STOCHASTIC PDE Section 001,Mathematics: Statistics GR8260,507
,,,,,,,88881,F/T MATRICULATION & FACILITIES Section 001,Matriculation and Facilities G0001,
,,,,,,,88883,F/T MATRICULATION-HLTH SCIENCE Section 001,Matriculation and Facilities G0003,
,,,,,,,88884,P/T MATRICULATION-HLTH SCIENCE Section 001,Matriculation and Facilities G0004,
,,,,,,,90999,RESEARCH MATRICULATION-PC Section 001,Matriculation and Facilities M0007,
,,,,,4:10pm-6:40pm,Kent Hall,10863,INTRO TO HUMAN SPACE FLIGHT Section 001,Mechanical and Industrial Engineering E4810,413
9:10am-11:00am,,,,,,Engineering Terrace,60736,INTRO TO MACHINING Section 001,Mechanical Engineering E1008,294
11:10am-12:55pm,,,,,,Engineering Terrace,26529,INTRO TO MACHINING Section 002,Mechanical Engineering E1008,294
1:10pm-3:00pm,,,,,,Engineering Terrace,65814,INTRO TO MACHINING Section 003,Mechanical Engineering E1008,294
9:10am-11:00am,,,,,,Engineering Terrace,63241,INTRO TO MACHINING Section 004,Mechanical Engineering E1008,294
11:10am-12:55pm,,,,,,Engineering Terrace,68597,INTRO TO MACHINING Section 005,Mechanical Engineering E1008,294
1:10pm-3:00pm,,,,,,Engineering Terrace,28780,INTRO TO MACHINING Section 006,Mechanical Engineering E1008,294
,1:10pm-3:55pm,,,,1:10pm-3:55pm,Schapiro [SCEP],74501,MECHANICAL ENGINEERING LAB II Section 001,Mechanical Engineering E3028,750
,,,10:10am-11:25am,10:10am-11:25am,,Hamilton Hall,18698,HEAT TRANSFER Section 001,Mechanical Engineering E3311,602
8:40am-9:55am,,,,,,Hamilton Hall,27791,HEAT TRANSFER Section R01,Mechanical Engineering E3311,303
10:10am-11:25am,,,,,,Hamilton Hall,70238,HEAT TRANSFER Section R02,Mechanical Engineering E3311,304
,8:40am-11:25am,,,,,Pupin Laboratories,89539,MECHANICS OF MACHINES Section 001,Mechanical Engineering E3401,214
,8:40am-9:55am,,,,8:40am-9:55am,Engineering Terrace,72786,COMPUTER GRAPHICS & DESIGN Section 001,Mechanical Engineering E3408,252
,10:10am-11:25am,,,,10:10am-11:25am,Engineering Terrace,60727,COMPUTER GRAPHICS & DESIGN Section 002,Mechanical Engineering E3408,252
,,,,,1:10pm-3:40pm,Seeley W. Mudd Building,23487,REVIEW OF FUNDMNTLS MECE ENGR Section 001,Mechanical Engineering E3411,644
,,,1:10pm-3:40pm,1:10pm-3:40pm,,Seeley W. Mudd Building,68477,ENGINEERING DESIGN Section 001,Mechanical Engineering E3430,633
1:10pm-3:40pm,,,,,,Hamilton Hall,16721,ENGINEERING DESIGN Section R01,Mechanical Engineering E3430,304
,,,10:10am-11:25am,10:10am-11:25am,,Havemeyer Hall,23749,COMPUTER AIDED DESIGN Section 001,Mechanical Engineering E3450,209
,,,2:40pm-3:55pm,2:40pm-3:55pm,,Hamilton Hall,76347,MATERIALS/PROCESSES IN MANUFAC Section 001,Mechanical Engineering E3610,517
,,,,,,,16914,HONORS TUTORIAL IN MECH ENGIN Section 001,Mechanical Engineering E3901,
,,,,,,,18873,HONORS TUTORIAL IN MECH ENGIN Section 002,Mechanical Engineering E3901,
,,,,,,,19504,HONORS TUTORIAL IN MECH ENGIN Section 003,Mechanical Engineering E3901,
,,,,,,,21419,HONORS TUTORIAL IN MECH ENGIN Section 004,Mechanical Engineering E3901,
,,,,,,,73096,HONORS TUTORIAL IN MECH ENGIN Section 005,Mechanical Engineering E3901,
,,,,,,,67448,HONORS TUTORIAL IN MECH ENGIN Section 006,Mechanical Engineering E3901,
,,,,,,,76403,HONORS TUTORIAL IN MECH ENGIN Section 007,Mechanical Engineering E3901,
,,,,,,,67090,HONORS TUTORIAL IN MECH ENGIN Section 008,Mechanical Engineering E3901,
,,,,,,,29982,HONORS TUTORIAL IN MECH ENGIN Section 009,Mechanical Engineering E3901,
,,,,,,,14673,HONORS TUTORIAL IN MECH ENGIN Section 010,Mechanical Engineering E3901,
,,,,,,,26143,HONORS TUTORIAL IN MECH ENGIN Section 011,Mechanical Engineering E3901,
,,,,,,,27197,HONORS TUTORIAL IN MECH ENGIN Section 012,Mechanical Engineering E3901,
,,,,,,,18218,HONORS TUTORIAL IN MECH ENGIN Section 013,Mechanical Engineering E3901,
,,,,,,,73657,HONORS TUTORIAL IN MECH ENGIN Section 014,Mechanical Engineering E3901,
,,,,,,,29130,HONORS TUTORIAL IN MECH ENGIN Section 015,Mechanical Engineering E3901,
,,,,,,,68497,HONORS TUTORIAL IN MECH ENGIN Section 016,Mechanical Engineering E3901,
,,,,,,,28246,HONORS TUTORIAL IN MECH ENGIN Section 017,Mechanical Engineering E3901,
,,,,,,,29571,HONORS TUTORIAL IN MECH ENGIN Section 018,Mechanical Engineering E3901,
,,,,,,,14202,HONORS TUTORIAL IN MECH ENGIN Section 019,Mechanical Engineering E3901,
,,,,,,,20875,HONORS TUTORIAL IN MECH ENGIN Section 020,Mechanical Engineering E3901,
,,,,,,,27803,PROJECTS IN MECH ENGINEERING Section 001,Mechanical Engineering E3998,
,,,,,,,73932,PROJECTS IN MECH ENGINEERING Section 002,Mechanical Engineering E3998,
,,,,,,,20676,PROJECTS IN MECH ENGINEERING Section 003,Mechanical Engineering E3998,
,,,,,,,71356,PROJECTS IN MECH ENGINEERING Section 004,Mechanical Engineering E3998,
,,,,,,,15654,PROJECTS IN MECH ENGINEERING Section 005,Mechanical Engineering E3998,
,,,,,,,10629,PROJECTS IN MECH ENGINEERING Section 006,Mechanical Engineering E3998,
,,,,,,,17561,PROJECTS IN MECH ENGINEERING Section 007,Mechanical Engineering E3998,
,,,,,,,77760,PROJECTS IN MECH ENGINEERING Section 008,Mechanical Engineering E3998,
,,,,,,,17643,PROJECTS IN MECH ENGINEERING Section 009,Mechanical Engineering E3998,
,,,,,,,66856,PROJECTS IN MECH ENGINEERING Section 010,Mechanical Engineering E3998,
,,,,,,,23931,PROJECTS IN MECH ENGINEERING Section 011,Mechanical Engineering E3998,
,,,,,,,60580,PROJECTS IN MECH ENGINEERING Section 012,Mechanical Engineering E3998,
,,,,,,,13761,PROJECTS IN MECH ENGINEERING Section 013,Mechanical Engineering E3998,
,,,,,,,22816,PROJECTS IN MECH ENGINEERING Section 014,Mechanical Engineering E3998,
,,,,,,,72559,PROJECTS IN MECH ENGINEERING Section 015,Mechanical Engineering E3998,
,,,,,,,15576,PROJECTS IN MECH ENGINEERING Section 016,Mechanical Engineering E3998,
,,,,,,,14621,PROJECTS IN MECH ENGINEERING Section 017,Mechanical Engineering E3998,
,,,,,,,67480,PROJECTS IN MECH ENGINEERING Section 018,Mechanical Engineering E3998,
,,,,,,,67681,PROJECTS IN MECH ENGINEERING Section 019,Mechanical Engineering E3998,
,,,,,,,67260,PROJECTS IN MECH ENGINEERING Section 020,Mechanical Engineering E3998,
,,,,4:10pm-6:40pm,,Seeley W. Mudd Building,64497,MECHATRONICS & EMBEDDED MICRO Section 001,Mechanical Engineering E4058,825
,,,,4:10pm-6:40pm,,Seeley W. Mudd Building,25984,MECHATRONICS & EMBEDDED MICRO Section 002,Mechanical Engineering E4058,825
,,,,,4:10pm-6:40pm,Hamilton Hall,13851,MECHANICS OF FLUIDS Section 001,Mechanical Engineering E4100,516
8:40am-11:25am,,,,,,Engineering Terrace,25851,ENERGY INFRASTRUCTURE PLANNING Section 001,Mechanical Engineering E4210,252
,,,4:10pm-6:40pm,,,Seeley W. Mudd Building,64332,ADVANCED THERMODYNAMICS Section 001,Mechanical Engineering E4302,627
,,9:40am-12:00pm,,,,Seeley W. Mudd Building,15115,MECH & THERMODYNAMICS OF PROPULSION Section 001,Mechanical Engineering E4305,627
,4:10pm-6:40pm,,,,,Seeley W. Mudd Building,11312,INTRO TO AERODYNAMICS Section 001,Mechanical Engineering E4306,627
,,,7:00pm-9:30pm,,,Seeley W. Mudd Building,27864,ENERGY DYNAMICS OF GREEN BLDGS Section 001,Mechanical Engineering E4314,1024
,,,,7:00pm-9:30pm,,Seeley W. Mudd Building,14111,SPACE VEHICLE DYNAMICS/CONTROL Section 001,Mechanical Engineering E4431,545
,1:10pm-3:40pm,,,,,Hamilton Hall,19660,DIGITAL MANUFACTURING Section 001,Mechanical Engineering E4606,503
,,,,,7:00pm-9:30pm,Seeley W. Mudd Building,70763,COMPUTER AIDED MANUFACTURING Section 001,Mechanical Engineering E4609,545
,,,,,,,67134,FIELDWORK Section 001,Mechanical Engineering E4999,
,,,,7:00pm-9:30pm,,Engineering Terrace,72308,CASE STUDIES-COMPUT FLUID DYN Section 001,Mechanical Engineering E6104,252
,4:10pm-6:40pm,,,,,Seeley W. Mudd Building,87699,ADVANCED HEAT TRANSFER Section 001,Mechanical Engineering E6313,1024
,,,7:00pm-9:30pm,,,Kent Hall,62723,ADVANCED MACHINE DYNAMICS Section 001,Mechanical Engineering E6400,413
,,,4:10pm-6:40pm,,,Hamilton Hall,64890,ADV TPC:ROBOTICS/MECH SYNTHES Section 001,Mechanical Engineering E6614,511
,,,,,,,61196,MASTERS THESIS Section 001,Mechanical Engineering E8020,
,,,,,,,25636,MASTERS THESIS Section 002,Mechanical Engineering E8020,
,,,,,,,74749,MASTERS THESIS Section 003,Mechanical Engineering E8020,
,,,,,,,69234,MASTERS THESIS Section 004,Mechanical Engineering E8020,
,,,,,,,21213,MASTERS THESIS Section 005,Mechanical Engineering E8020,
,,,,,,,19372,MASTERS THESIS Section 006,Mechanical Engineering E8020,
,,,,,,,62394,MASTERS THESIS Section 007,Mechanical Engineering E8020,
,,,,,,,73376,MASTERS THESIS Section 008,Mechanical Engineering E8020,
,,,,,,,15999,MASTERS THESIS Section 009,Mechanical Engineering E8020,
,,,,,,,18163,MASTERS THESIS Section 010,Mechanical Engineering E8020,
,,,,,,,11732,MASTERS THESIS Section 011,Mechanical Engineering E8020,
,,,,,,,68949,MASTERS THESIS Section 012,Mechanical Engineering E8020,
,,,,,,,22622,MASTERS THESIS Section 013,Mechanical Engineering E8020,
,,,,,,,16104,MASTERS THESIS Section 014,Mechanical Engineering E8020,
,,,,,,,27279,MASTERS THESIS Section 015,Mechanical Engineering E8020,
,,,,,,,20511,MASTERS THESIS Section 016,Mechanical Engineering E8020,
,,,,,,,21091,MASTERS THESIS Section 017,Mechanical Engineering E8020,
,,,,,,,73237,MASTERS THESIS Section 018,Mechanical Engineering E8020,
,,,,,,,15066,MASTERS THESIS Section 019,Mechanical Engineering E8020,
